open	high	low	close	volume	macd	signal	position	pct change	strategy_returns	cumulative_returns
2640.22	2640.35	2639.71	2640.07	18.7896	0.5620624312164182	1	0.0	-5.681344736407912e-05	-0.0	0.1688020592813122
2640.07	2640.72	2639.96	2639.96	25.5245	0.5213208529835356	1	0.0	-4.166556189799664e-05	-0.0	0.1688020592813122
2639.96	2641.48	2639.96	2641.47	60.7746	0.8184968333721372	1	0.0	0.0005719783633084674	0.0	0.1688020592813122
2641.48	2644.53	2641.48	2644.53	130.3392	1.6788495053674524	1	0.0	0.0011584458653706164	0.0	0.1688020592813122
2644.53	2645.67	2644.53	2644.6	93.7272	2.238276875956217	1	0.0	2.6469731861489265e-05	0.0	0.1688020592813122
2644.6	2644.71	2644.05	2644.06	21.5031	2.4513822272538164	1	0.0	-0.0002041896695151868	-0.0	0.1688020592813122
2644.05	2644.06	2642.49	2642.49	85.0494	2.201311937065384	1	0.0	-0.0005937838021831121	-0.0	0.1688020592813122
2642.49	2643.8	2642.49	2643.19	56.489	2.1484758088367926	1	0.0	0.0002649016647178204	0.0	0.1688020592813122
2643.19	2644.59	2643.19	2644.58	141.3738	2.3810327589358167	1	0.0	0.0005258797135279103	0.0	0.1688020592813122
2644.58	2645.0	2644.58	2644.99	105.6905	2.58322919547345	1	0.0	0.00015503406968209177	0.0	0.1688020592813122
2645.0	2646.0	2644.99	2645.99	27.3896	2.8919184420910824	1	0.0	0.00037807326303695987	0.0	0.1688020592813122
2645.99	2645.99	2644.6	2644.6	57.8515	2.737412760022835	1	0.0	-0.0005253232249554651	-0.0	0.1688020592813122
2644.6	2644.61	2644.5	2644.5	37.0938	2.5615925990091455	1	0.0	-3.7812901762079854e-05	-0.0	0.1688020592813122
2644.51	2644.51	2642.62	2642.97	46.3609	2.058457604801788	1	0.0	-0.0005785592739648848	-0.0	0.1688020592813122
2642.97	2644.5	2642.97	2644.2	35.6907	1.9563912242520018	1	0.0	0.0004653855321854472	0.0	0.1688020592813122
2644.2	2644.5	2643.09	2643.1	91.9135	1.6088097031606594	1	0.0	-0.00041600484078352373	-0.0	0.1688020592813122
2643.1	2643.5	2642.19	2642.69	69.9068	1.2562080470738692	1	0.0	-0.00015512088078384334	-0.0	0.1688020592813122
2642.69	2643.0	2641.78	2642.77	69.5019	1.0151385893741462	1	0.0	3.027218478135474e-05	0.0	0.1688020592813122
2642.78	2642.78	2642.31	2642.31	16.9062	0.7335919270512932	1	0.0	-0.00017405979332296706	-0.0	0.1688020592813122
2642.32	2643.42	2642.31	2643.41	60.518	0.7752572093327217	1	0.0	0.0004163024020649164	0.0	0.1688020592813122
2643.41	2643.42	2642.63	2643.32	34.7427	0.7688997765835666	1	0.0	-3.404693180386609e-05	-0.0	0.1688020592813122
2643.32	2643.32	2641.2	2641.21	60.3249	0.28375034407235944	1	0.0	-0.000798238578757049	-0.0	0.1688020592813122
2641.21	2641.49	2637.42	2637.74	960.1146	-0.8132158729345065	-1	-2.0	-0.001313791784826046	0.07882750708956276	0.24762956637087497
2637.75	2638.56	2637.74	2638.4	130.5295	-1.3852307944744098	-1	0.0	0.0002502141985185613	0.0	0.24762956637087497
2638.4	2638.57	2637.74	2638.57	119.3244	-1.7043148518264388	-1	0.0	6.443298969083244e-05	0.0	0.24762956637087497
2638.56	2640.0	2638.56	2640.0	62.2359	-1.569798395185444	-1	0.0	0.0005419602284570946	0.0	0.24762956637087497
2640.0	2640.2	2638.83	2639.0	38.3197	-1.6721759076563103	-1	0.0	-0.00037878787878786735	-0.0	0.24762956637087497
2639.0	2639.0	2638.74	2638.74	24.1901	-1.7672728462630403	-1	0.0	-9.852216748773568e-05	-0.0	0.24762956637087497
2638.75	2639.03	2638.74	2638.8	32.8294	-1.784968536184806	-1	0.0	2.273812501440986e-05	0.0	0.24762956637087497
2638.8	2638.89	2638.79	2638.81	31.3368	-1.761678217723329	-1	0.0	3.7896013338478696e-06	0.0	0.24762956637087497
2638.81	2638.81	2638.51	2638.77	48.1195	-1.7224901575950753	-1	0.0	-1.5158347891675028e-05	-0.0	0.24762956637087497
2638.77	2638.77	2637.86	2638.5	74.3798	-1.7242771191208703	-1	0.0	-0.00010232039927693393	-0.0	0.24762956637087497
2638.5	2638.5	2637.5	2638.33	118.9304	-1.7312909483594012	-1	0.0	-6.443054765969958e-05	-0.0	0.24762956637087497
2638.33	2639.39	2638.33	2639.11	66.7388	-1.531529849033177	-1	0.0	0.0002956415611390373	0.0	0.24762956637087497
2639.1	2640.0	2638.76	2640.0	45.291	-1.1729516057225737	-1	0.0	0.0003372349011598885	0.0	0.24762956637087497
2640.0	2641.5	2639.99	2641.06	85.587	-0.6772573582434234	-1	0.0	0.0004015151515150972	0.0	0.24762956637087497
2641.06	2641.2	2640.39	2640.39	88.8746	-0.4817518498684876	-1	0.0	-0.0002536860200071933	-0.0	0.24762956637087497
2640.39	2640.4	2639.04	2639.05	79.8194	-0.6386398401273254	-1	0.0	-0.0005075007858685865	-0.0	0.24762956637087497
2639.05	2641.0	2639.05	2640.99	62.5795	-0.302576242095256	-1	0.0	0.000735113014152633	0.0	0.24762956637087497
2640.99	2642.0	2640.69	2641.99	40.6262	0.14875798225057224	1	2.0	0.00037864588658043097	0.022718753194825858	0.2703483195657008
2642.0	2642.39	2641.99	2642.39	39.3951	0.5360779389379786	1	0.0	0.00015140102725608173	0.0	0.2703483195657008
2642.39	2642.82	2642.0	2642.17	92.03	0.7363409894628603	1	0.0	-8.325795965014038e-05	-0.0	0.2703483195657008
2642.17	2643.05	2642.08	2642.44	96.6694	0.916307710053843	1	0.0	0.00010218873123224448	0.0	0.2703483195657008
2642.44	2642.44	2641.5	2642.23	78.2301	0.9732198927517857	1	0.0	-7.947200314861735e-05	-0.0	0.2703483195657008
2642.24	2642.24	2640.5	2640.53	118.9774	0.6172723670383675	1	0.0	-0.0006433959193559158	-0.0	0.2703483195657008
2640.53	2640.53	2639.71	2639.71	196.4887	0.18666646521069197	1	0.0	-0.0003105437166024405	-0.0	0.2703483195657008
